book_id,processed_dir,title,genre_primary,pc,corr_pc_position,perm_pvalue,perm_qvalue
1260,jane_eyre,Jane Eyre,Gothic,PC3,-0.08908134645486136,0.001998001998001998,0.0036327309054581783
1260,jane_eyre,Jane Eyre,Gothic,PC4,0.37394713875256735,0.000999000999000999,0.0014271442842871413
1260,jane_eyre,Jane Eyre,Gothic,PC5,-0.1311193599325042,0.000999000999000999,0.0015369246138476908
1342,pride_prejudice,Pride and Prejudice,Romance,PC1,-0.06255181612357574,0.026973026973026972,0.03596403596403596
1342,pride_prejudice,Pride and Prejudice,Romance,PC2,-0.0009124658848331496,0.9790209790209791,0.979020979020979
1342,pride_prejudice,Pride and Prejudice,Romance,PC3,0.017111905102891803,0.5504495504495505,0.6116106116106116
1342,pride_prejudice,Pride and Prejudice,Romance,PC4,0.2474600723370076,0.000999000999000999,0.0014271442842871413
1342,pride_prejudice,Pride and Prejudice,Romance,PC5,-0.11119926396464992,0.000999000999000999,0.0015369246138476908
1513,romeo_juliet,Romeo and Juliet,Tragedy,PC1,0.02077385943564991,0.7562437562437563,0.7562437562437563
1513,romeo_juliet,Romeo and Juliet,Tragedy,PC2,0.02028808390035721,0.7522477522477522,0.7918397392081602
1513,romeo_juliet,Romeo and Juliet,Tragedy,PC3,-0.25995955581336133,0.000999000999000999,0.001998001998001998
1513,romeo_juliet,Romeo and Juliet,Tragedy,PC4,0.03261639530932447,0.6143856143856143,0.6467216993532783
1513,romeo_juliet,Romeo and Juliet,Tragedy,PC5,-0.5549358383300285,0.000999000999000999,0.0015369246138476908
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,PC1,-0.15557284347784256,0.000999000999000999,0.0018163654527290892
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,PC2,0.0679408088511826,0.03296703296703297,0.04995004995004996
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,PC3,-0.2048553769213037,0.000999000999000999,0.001998001998001998
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,PC4,0.18492873627875786,0.000999000999000999,0.0014271442842871413
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,PC5,0.2153197848904802,0.000999000999000999,0.0015369246138476908
