variant,label,count,proportion,scope,book_id,processed_dir,title
winsize_5,0,119,0.1588785046728972,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
winsize_5,1,55,0.07343124165554073,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
winsize_5,2,100,0.13351134846461948,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
winsize_5,3,410,0.5473965287049399,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
winsize_5,4,65,0.08678237650200267,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
indep_winsize_5,0,96,0.12817089452603472,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
indep_winsize_5,1,344,0.45927903871829107,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
indep_winsize_5,2,230,0.30707610146862485,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
indep_winsize_5,3,74,0.09879839786381843,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
indep_winsize_5,4,5,0.006675567423230975,book,84.0,frankenstein_modern_prometheus,"Frankenstein; Or, The Modern Prometheus"
base,0,292,0.4620253164556962,book,103.0,around_world_eighty_days,Around the World in Eighty Days
base,1,70,0.11075949367088607,book,103.0,around_world_eighty_days,Around the World in Eighty Days
base,2,99,0.15664556962025317,book,103.0,around_world_eighty_days,Around the World in Eighty Days
base,3,166,0.2626582278481013,book,103.0,around_world_eighty_days,Around the World in Eighty Days
base,4,5,0.007911392405063292,book,103.0,around_world_eighty_days,Around the World in Eighty Days
winsize_5,0,90,0.14240506329113925,book,103.0,around_world_eighty_days,Around the World in Eighty Days
winsize_5,1,155,0.24525316455696203,book,103.0,around_world_eighty_days,Around the World in Eighty Days
winsize_5,2,110,0.17405063291139242,book,103.0,around_world_eighty_days,Around the World in Eighty Days
winsize_5,3,262,0.41455696202531644,book,103.0,around_world_eighty_days,Around the World in Eighty Days
winsize_5,4,15,0.023734177215189875,book,103.0,around_world_eighty_days,Around the World in Eighty Days
indep_winsize_5,0,77,0.12183544303797468,book,103.0,around_world_eighty_days,Around the World in Eighty Days
indep_winsize_5,1,305,0.4825949367088608,book,103.0,around_world_eighty_days,Around the World in Eighty Days
indep_winsize_5,2,193,0.30537974683544306,book,103.0,around_world_eighty_days,Around the World in Eighty Days
indep_winsize_5,3,56,0.08860759493670886,book,103.0,around_world_eighty_days,Around the World in Eighty Days
indep_winsize_5,4,1,0.0015822784810126582,book,103.0,around_world_eighty_days,Around the World in Eighty Days
base,0,202,0.25093167701863356,book,113.0,secret_garden,The Secret Garden
base,1,131,0.16273291925465838,book,113.0,secret_garden,The Secret Garden
base,2,177,0.21987577639751552,book,113.0,secret_garden,The Secret Garden
base,3,271,0.33664596273291925,book,113.0,secret_garden,The Secret Garden
base,4,24,0.02981366459627329,book,113.0,secret_garden,The Secret Garden
winsize_5,0,40,0.049689440993788817,book,113.0,secret_garden,The Secret Garden
winsize_5,1,75,0.09316770186335403,book,113.0,secret_garden,The Secret Garden
winsize_5,2,215,0.2670807453416149,book,113.0,secret_garden,The Secret Garden
winsize_5,3,425,0.5279503105590062,book,113.0,secret_garden,The Secret Garden
winsize_5,4,50,0.062111801242236024,book,113.0,secret_garden,The Secret Garden
indep_winsize_5,0,91,0.11304347826086956,book,113.0,secret_garden,The Secret Garden
indep_winsize_5,1,406,0.5043478260869565,book,113.0,secret_garden,The Secret Garden
indep_winsize_5,2,263,0.3267080745341615,book,113.0,secret_garden,The Secret Garden
indep_winsize_5,3,45,0.055900621118012424,book,113.0,secret_garden,The Secret Garden
indep_winsize_5,4,0,0.0,book,113.0,secret_garden,The Secret Garden
base,0,168,0.24525547445255474,book,120.0,treasure_island,Treasure Island
base,1,102,0.14890510948905109,book,120.0,treasure_island,Treasure Island
base,2,111,0.16204379562043797,book,120.0,treasure_island,Treasure Island
base,3,299,0.4364963503649635,book,120.0,treasure_island,Treasure Island
base,4,5,0.0072992700729927005,book,120.0,treasure_island,Treasure Island
winsize_5,0,25,0.0364963503649635,book,120.0,treasure_island,Treasure Island
winsize_5,1,50,0.072992700729927,book,120.0,treasure_island,Treasure Island
winsize_5,2,115,0.1678832116788321,book,120.0,treasure_island,Treasure Island
winsize_5,3,475,0.6934306569343066,book,120.0,treasure_island,Treasure Island
winsize_5,4,20,0.029197080291970802,book,120.0,treasure_island,Treasure Island
indep_winsize_5,0,33,0.04817518248175182,book,120.0,treasure_island,Treasure Island
indep_winsize_5,1,275,0.40145985401459855,book,120.0,treasure_island,Treasure Island
indep_winsize_5,2,274,0.4,book,120.0,treasure_island,Treasure Island
indep_winsize_5,3,102,0.14890510948905109,book,120.0,treasure_island,Treasure Island
indep_winsize_5,4,1,0.00145985401459854,book,120.0,treasure_island,Treasure Island
