variant,book_id,title,processed_dir,split,T,mse,rmse,mae,r2,corr,mae_ma
indep_winsize_5,16,Peter Pan,peter_pan,test,471,0.6662548343768354,0.8162443472250422,0.6779932870456393,0.07572515688008685,0.2826212746260405,0.3089185824560365
indep_winsize_5,113,The Secret Garden,secret_garden,test,805,0.5587092895725819,0.7474685876828416,0.6110701025353301,-0.0023021249170114277,0.20500234032769915,0.27173420237024765
indep_winsize_5,768,Wuthering Heights,wuthering_heights,test,1158,0.5585766498310468,0.7473798564525584,0.6147159966603266,0.08783771900233817,0.32665539051005055,0.2638392543639724
indep_winsize_5,1342,Pride and Prejudice,pride_prejudice,test,1272,0.5264475024542076,0.7255670213386269,0.5876897036867426,0.04257828145134723,0.26273913541667987,0.260332617460382
indep_winsize_5,11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,train,264,0.47388632949104437,0.6883940219750927,0.5521748055623356,0.11422260787384808,0.34355495123694807,0.21625795718510252
indep_winsize_5,35,The Time Machine,time_machine,train,323,0.624183127626005,0.7900526106696978,0.6358621309062261,0.16088444808270663,0.40242106322216964,0.27651151872815377
indep_winsize_5,36,The War of the Worlds,war_worlds,train,599,0.656870293950804,0.8104753506127155,0.6670435791057687,0.18401543318754443,0.4368853234808502,0.315059238911911
indep_winsize_5,43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,train,255,0.7027688387763988,0.8383130911398192,0.7095410739520092,0.11950782771800905,0.3482127240183065,0.30941193541120743
indep_winsize_5,55,The Wonderful Wizard of Oz,wonderful_wizard_oz,train,395,0.5693976186229984,0.7545844012587316,0.607705742314549,0.12613842219809057,0.3567839222468911,0.25840514538952114
indep_winsize_5,84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,train,749,0.5857821534089882,0.7653640659248304,0.6165209229971109,0.20115424444764185,0.4498345061781346,0.2617715031096296
indep_winsize_5,103,Around the World in Eighty Days,around_world_eighty_days,train,632,0.5019526109514765,0.7084861402677377,0.5687768377526793,0.24209681260822757,0.5015260778787408,0.24702564521172235
indep_winsize_5,120,Treasure Island,treasure_island,train,685,0.5361801184106193,0.732243209876759,0.6092603812320818,0.14783726896034755,0.3855485540856535,0.2296900987460208
indep_winsize_5,175,The Phantom of the Opera,phantom_opera,train,854,0.5320178172088658,0.7293955149360776,0.6027274241766225,0.2517450393104237,0.5068042758281393,0.23682479747095272
indep_winsize_5,345,Dracula,dracula,train,1612,0.5496106761856627,0.7413573201808037,0.6039740822437585,0.20108503638658326,0.4488428644775757,0.26143899358469797
indep_winsize_5,521,Robinson Crusoe,robinson_crusoe,train,1208,0.5291378741985211,0.727418637511111,0.5688800689519643,0.18302480507606766,0.4303217026252738,0.23568824608723862
