metric_key,value,source_file,source_row_filter,notes
ciw5::book::35::train::error_gap_raw_vs_ma,0.3593506121780724,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=35,split=train",
ciw5::book::36::train::mae,0.6670435791057687,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=36,split=train",
ciw5::book::36::train::mae_ma5,0.315059238911911,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=36,split=train",
ciw5::book::36::train::corr,0.4368853234808502,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=36,split=train",
ciw5::book::36::train::error_gap_raw_vs_ma,0.3519843401938577,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=36,split=train",
ciw5::book::43::train::mae,0.7095410739520092,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=43,split=train",
ciw5::book::43::train::mae_ma5,0.3094119354112074,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=43,split=train",
ciw5::book::43::train::corr,0.3482127240183065,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=43,split=train",
ciw5::book::43::train::error_gap_raw_vs_ma,0.4001291385408018,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=43,split=train",
ciw5::book::55::train::mae,0.607705742314549,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=55,split=train",
ciw5::book::55::train::mae_ma5,0.2584051453895211,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=55,split=train",
ciw5::book::55::train::corr,0.3567839222468911,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=55,split=train",
ciw5::book::55::train::error_gap_raw_vs_ma,0.3493005969250279,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=55,split=train",
ciw5::book::84::train::mae,0.6165209229971109,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=84,split=train",
ciw5::book::84::train::mae_ma5,0.2617715031096296,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=84,split=train",
ciw5::book::84::train::corr,0.4498345061781346,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=84,split=train",
ciw5::book::84::train::error_gap_raw_vs_ma,0.3547494198874813,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=84,split=train",
ciw5::book::103::train::mae,0.5687768377526793,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=103,split=train",
ciw5::book::103::train::mae_ma5,0.2470256452117223,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=103,split=train",
