branch,cluster,cluster_size,feature,mean_raw,median_raw,mean_z,delta_z_vs_corpus,abs_delta_z,rank_abs_delta
feature,1,5,mean_ma5,1.3191103001532858,1.3523038156947447,-0.9768208746423038,-0.9768208746423038,0.9768208746423038,3
feature,1,5,std_ma5,0.4284861442223586,0.43198296163128824,-0.07288092414679408,-0.07288092414679408,0.07288092414679408,29
feature,1,5,p95_ma5,2.0519999999999983,2.059999999999991,-0.8018421337072968,-0.8018421337072968,0.8018421337072968,12
feature,2,6,T,1868.3333333333333,1385.0,0.8198486271160518,0.8198486271160518,0.8198486271160518,4
feature,2,6,mean_y,1.5598655072601941,1.541666572515134,0.6965477121099516,0.6965477121099516,0.6965477121099516,9
feature,2,6,std_y,0.7929348940048394,0.7878792995094912,-0.4136375850435258,-0.4136375850435258,0.4136375850435258,13
feature,2,6,median_y,1.5,1.5,0.75,0.75,0.75,7
feature,2,6,iqr_y,1.0,1.0,0.0,0.0,0.0,31
feature,2,6,min_y,0.0,0.0,0.0,0.0,0.0,32
feature,2,6,max_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,20
feature,2,6,p10_y,1.0,1.0,0.9381895689152039,0.9381895689152039,0.9381895689152039,3
feature,2,6,p90_y,2.8333333333333335,3.0,0.5695214286468869,0.5695214286468869,0.5695214286468869,11
feature,2,6,range_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,21
feature,2,6,prop_label_0,0.062070476733736564,0.06369194241869006,-0.9479948991131043,-0.9479948991131043,0.9479948991131043,2
feature,2,6,prop_label_1,0.4447434542559657,0.4569936661259481,-0.4813351283387763,-0.4813351283387763,0.4813351283387763,12
feature,2,6,prop_label_2,0.36776855087062105,0.36297035589909116,1.0818496902417998,1.0818496902417998,1.0818496902417998,1
feature,2,6,prop_label_3,0.12208512129572059,0.11086807921589803,0.37983804748590244,0.37983804748590244,0.37983804748590244,16
feature,2,6,prop_label_4,0.003332396843956109,0.003571733772308578,-0.39973642285993055,-0.39973642285993055,0.39973642285993055,14
feature,2,6,entropy_labels,1.6879943390486025,1.6828844283557587,-0.3594209170654812,-0.3594209170654812,0.3594209170654812,19
feature,2,6,mean_abs_diff,0.7303276946049629,0.7228126423406067,-0.276805262865975,-0.276805262865975,0.276805262865975,24
feature,2,6,std_diff,0.9678563638347986,0.9691583537450302,-0.366251609280944,-0.366251609280944,0.366251609280944,17
feature,2,6,p95_abs_diff,2.0,2.0,0.0,0.0,0.0,33
feature,2,6,jump_ge_2_rate,0.0897793262986011,0.09070124527409067,-0.24395004364933967,-0.24395004364933967,0.24395004364933967,25
feature,2,6,up_rate,0.33491177052829696,0.3326798742654621,-0.3958936823032911,-0.3958936823032911,0.3958936823032911,15
feature,2,6,down_rate,0.29873755961349513,0.29100844614622784,0.04219022280589426,0.04219022280589426,0.04219022280589426,30
feature,2,6,flat_rate,0.3663506698582079,0.37631167958831,0.21216026312756142,0.21216026312756142,0.21216026312756142,26
feature,2,6,lag1_autocorr,0.2533111222242021,0.248479168594377,-0.20012110351447732,-0.20012110351447732,0.20012110351447732,27
feature,2,6,sign_change_rate,0.7261926254693923,0.7290658757584827,0.7840485653095454,0.7840485653095454,0.7840485653095454,6
feature,2,6,corr_with_position,0.08256297145256085,0.08407670065801448,-0.1276631395954247,-0.1276631395954247,0.1276631395954247,29
feature,2,6,slope_position,0.22624403978534322,0.22814175908283987,-0.1411800128654662,-0.1411800128654662,0.1411800128654662,28
feature,2,6,mean_early,1.4700986053620408,1.4651901043567102,0.7909898301098939,0.7909898301098939,0.7909898301098939,5
feature,2,6,mean_mid,1.5879427738506162,1.5278702444013468,0.3647215355016153,0.3647215355016153,0.3647215355016153,18
feature,2,6,mean_late,1.6213685130226885,1.6298394097222222,0.6886091879089994,0.6886091879089994,0.6886091879089994,10
feature,2,6,mean_ma5,1.5600083315630675,1.5418291031677347,0.6979852841744528,0.6979852841744528,0.6979852841744528,8
feature,2,6,std_ma5,0.416457355571946,0.4038125628478568,-0.32410473694052544,-0.32410473694052544,0.32410473694052544,22
feature,2,6,p95_ma5,2.233333333333333,2.2,0.3080869266916059,0.3080869266916059,0.3080869266916059,23
feature,3,6,T,573.5,535.0,-0.5046546863370467,-0.5046546863370467,0.5046546863370467,17
feature,3,6,mean_y,1.4473694094156013,1.451976108548698,-0.0845769538567581,-0.0845769538567581,0.0845769538567581,29
feature,3,6,std_y,0.8666591329596,0.8593966292474886,1.073240093824796,1.073240093824796,1.073240093824796,4
feature,3,6,median_y,1.0,1.0,-0.49999999999999994,-0.49999999999999994,0.49999999999999994,18
feature,3,6,iqr_y,1.0,1.0,0.0,0.0,0.0,31
feature,3,6,min_y,0.0,0.0,0.0,0.0,0.0,32
feature,3,6,max_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,21
feature,3,6,p10_y,0.3000000000000007,0.0,-0.48949020986880126,-0.48949020986880126,0.48949020986880126,19
feature,3,6,p90_y,2.8333333333333335,3.0,0.5695214286468869,0.5695214286468869,0.5695214286468869,14
feature,3,6,range_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,22
feature,3,6,prop_label_0,0.11575102975431577,0.10897565922920893,0.5765770000628324,0.5765770000628324,0.5765770000628324,13
feature,3,6,prop_label_1,0.45405872932484864,0.4604824312365402,-0.2803281102467046,-0.2803281102467046,0.2803281102467046,25
feature,3,6,prop_label_2,0.3042500182189733,0.3129704380464994,-0.5368469293231428,-0.5368469293231428,0.5368469293231428,15
feature,3,6,prop_label_3,0.11895024715464307,0.11733975094889434,0.3015814935853521,0.3015814935853521,0.3015814935853521,24
feature,3,6,prop_label_4,0.00698997554721922,0.0077529862519720525,0.33770906977311227,0.33770906977311227,0.33770906977311227,20
feature,3,6,entropy_labels,1.8051775291957737,1.7933894091716411,1.0292412406851024,1.0292412406851024,1.0292412406851024,6
feature,3,6,mean_abs_diff,0.8130308835116783,0.8052152108177787,1.1533349188546687,1.1533349188546687,1.1533349188546687,3
feature,3,6,std_diff,1.0470097427848577,1.0440107981076543,1.254932706696943,1.254932706696943,1.254932706696943,1
feature,3,6,p95_abs_diff,2.0,2.0,0.0,0.0,0.0,33
feature,3,6,jump_ge_2_rate,0.11598831296521056,0.12018726668162624,1.1556109412538724,1.1556109412538724,1.1556109412538724,2
feature,3,6,up_rate,0.3697652131099076,0.36416364964958314,1.0598865021380144,1.0598865021380144,1.0598865021380144,5
feature,3,6,down_rate,0.31437964435427895,0.31880076445293837,0.8625973291892359,0.8625973291892359,0.8625973291892359,9
feature,3,6,flat_rate,0.3158551425358134,0.32059245102723366,-1.0229484778348492,-1.0229484778348492,1.0229484778348492,7
feature,3,6,lag1_autocorr,0.2680332675003331,0.2672649253186889,0.14354457068215085,0.14354457068215085,0.14354457068215085,27
feature,3,6,sign_change_rate,0.6775295683517554,0.674512099921936,-0.9538107977575958,-0.9538107977575958,0.9538107977575958,8
feature,3,6,corr_with_position,0.0398107980773403,0.061128144961375794,-0.7267749403299667,-0.7267749403299667,0.7267749403299667,10
feature,3,6,slope_position,0.1159792774049586,0.1845849816534783,-0.6632014878706814,-0.6632014878706814,0.6632014878706814,12
feature,3,6,mean_early,1.3751442208980293,1.3861739512409401,0.10993124001838162,0.10993124001838162,0.10993124001838162,28
feature,3,6,mean_mid,1.5484132887554807,1.4843509773775532,0.17174118917827563,0.17174118917827563,0.17174118917827563,26
feature,3,6,mean_late,1.41840207642387,1.4024509803921568,-0.516230972157844,-0.516230972157844,0.516230972157844,16
feature,3,6,mean_ma5,1.447496202657313,1.4523243730222646,-0.08423782213396434,-0.08423782213396434,0.08423782213396434,30
feature,3,6,std_ma5,0.46669217356207965,0.4553643587278233,0.7250601355379338,0.7250601355379338,0.7250601355379338,11
feature,3,6,p95_ma5,2.233333333333333,2.2,0.3080869266916059,0.3080869266916059,0.3080869266916059,23
feature,4,1,T,258.0,258.0,-0.8273840945448876,-0.8273840945448876,0.8273840945448876,25
feature,4,1,mean_y,1.8294573643410852,1.8294573643410852,2.5684779687537644,2.5684779687537644,2.5684779687537644,4
feature,4,1,std_y,0.8682516604398861,0.8682516604398861,1.105358344172215,1.105358344172215,1.105358344172215,21
feature,4,1,median_y,2.0,2.0,2.0,2.0,2.0,10
feature,4,1,iqr_y,1.0,1.0,0.0,0.0,0.0,31
feature,4,1,min_y,0.0,0.0,0.0,0.0,0.0,32
feature,4,1,max_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,28
feature,4,1,p10_y,1.0,1.0,0.9381895689152039,0.9381895689152039,0.9381895689152039,23
feature,4,1,p90_y,3.0,3.0,0.904534033733291,0.904534033733291,0.904534033733291,24
feature,4,1,range_y,4.0,4.0,0.33333333333333365,0.33333333333333365,0.33333333333333365,29
feature,4,1,prop_label_0,0.031007751937984496,0.031007751937984496,-1.8302018562076792,-1.8302018562076792,1.8302018562076792,12
feature,4,1,prop_label_1,0.36046511627906974,0.36046511627906974,-2.299911314358266,-2.299911314358266,2.299911314358266,9
feature,4,1,prop_label_2,0.3798449612403101,0.3798449612403101,1.3896030942617132,1.3896030942617132,1.3896030942617132,16
feature,4,1,prop_label_3,0.2054263565891473,0.2054263565891473,2.4603036669562597,2.4603036669562597,2.4603036669562597,8
feature,4,1,prop_label_4,0.023255813953488372,0.023255813953488372,3.617247307979477,3.617247307979477,3.617247307979477,1
feature,4,1,entropy_labels,1.8117199172352159,1.8117199172352159,1.1067708477924287,1.1067708477924287,1.1067708477924287,20
feature,4,1,mean_abs_diff,0.8054474708171206,0.8054474708171206,1.0221991869388143,1.0221991869388143,1.0221991869388143,22
feature,4,1,std_diff,1.0115384525712032,1.0115384525712032,0.5284255111145674,0.5284255111145674,0.5284255111145674,26
feature,4,1,p95_abs_diff,2.0,2.0,0.0,0.0,0.0,33
feature,4,1,jump_ge_2_rate,0.10116731517509728,0.10116731517509728,0.364169038969037,0.364169038969037,0.364169038969037,27
feature,4,1,up_rate,0.38132295719844356,0.38132295719844356,1.5426375182402712,1.5426375182402712,1.5426375182402712,13
feature,4,1,down_rate,0.31906614785992216,0.31906614785992216,1.108398374499741,1.108398374499741,1.108398374499741,19
feature,4,1,flat_rate,0.29961089494163423,0.29961089494163423,-1.4202789595195187,-1.4202789595195187,1.4202789595195187,15
feature,4,1,lag1_autocorr,0.31565724623346764,0.31565724623346764,1.2552525760218316,1.2552525760218316,1.2552525760218316,17
feature,4,1,sign_change_rate,0.7039106145251397,0.7039106145251397,-0.011688563449666619,-0.011688563449666619,0.011688563449666619,30
feature,4,1,corr_with_position,0.26744742249882186,0.26744742249882186,2.463233361080346,2.463233361080346,2.463233361080346,7
feature,4,1,slope_position,0.8012929873394996,0.8012929873394996,2.581248198305457,2.581248198305457,2.581248198305457,3
feature,4,1,mean_early,1.6162790697674418,1.6162790697674418,1.8394665439429227,1.8394665439429227,1.8394665439429227,11
feature,4,1,mean_mid,1.8255813953488371,1.8255813953488371,1.5248576558218798,1.5248576558218798,1.5248576558218798,14
feature,4,1,mean_late,2.046511627906977,2.046511627906977,3.2123244739046344,3.2123244739046344,3.2123244739046344,2
feature,4,1,mean_ma5,1.8282299741602068,1.8282299741602068,2.5627546071976366,2.5627546071976366,2.5627546071976366,5
feature,4,1,std_ma5,0.4915224573664162,0.4915224573664162,1.2436459010183087,1.2436459010183087,1.2436459010183087,18
feature,4,1,p95_ma5,2.6,2.6,2.552428776762894,2.552428776762894,2.552428776762894,6
feature,5,2,T,534.5,534.5,-0.5445483374308844,-0.5445483374308844,0.5445483374308844,22
feature,5,2,mean_y,1.3615965556182947,1.3615965556182947,-0.6801468718817227,-0.6801468718817227,0.6801468718817227,21
feature,5,2,std_y,0.7390215491646039,0.7390215491646039,-1.5009672092295006,-1.5009672092295006,1.5009672092295006,7
feature,5,2,median_y,1.0,1.0,-0.4999999999999999,-0.4999999999999999,0.4999999999999999,23
feature,5,2,iqr_y,1.0,1.0,0.0,0.0,0.0,31
feature,5,2,min_y,0.0,0.0,0.0,0.0,0.0,32
feature,5,2,max_y,3.0,3.0,-3.0,-3.0,3.0,1
feature,5,2,p10_y,0.5,0.5,-0.08158170164480089,-0.08158170164480089,0.08158170164480089,30
feature,5,2,p90_y,2.0,2.0,-1.1055415967851328,-1.1055415967851328,1.1055415967851328,13
feature,5,2,range_y,3.0,3.0,-3.0,-3.0,3.0,2
