book_id,title,processed_dir,T,mean_y,std_y,median_y,iqr_y,min_y,max_y,p10_y,p90_y,range_y,prop_label_0,prop_label_1,prop_label_2,prop_label_3,prop_label_4,entropy_labels,mean_abs_diff,std_diff,p95_abs_diff,jump_ge_2_rate,up_rate,down_rate,flat_rate,lag1_autocorr,sign_change_rate,corr_with_position,slope_position,mean_early,mean_mid,mean_late,mean_ma5,std_ma5,p95_ma5
175,The Phantom of the Opera,phantom_opera,854,1.6463700234192038,0.8432149271887668,2.0,1.0,0.0,4.0,1.0,3.0,4.0,0.06088992974238876,0.40749414519906324,0.36065573770491804,0.16627634660421545,0.00468384074941452,1.770877332919801,0.7913247362250879,1.0208832507037602,2.0,0.10902696365767878,0.3540445486518171,0.32004689331770225,0.32590855803048063,0.2660643674592097,0.7212543554006968,0.07554366586604046,0.22040346768560803,1.471830985915493,1.8210526315789475,1.6456140350877193,1.6463505074160811,0.46613666397815845,2.4
345,Dracula,dracula,1612,1.4956575682382134,0.829425345544914,1.0,1.0,0.0,4.0,1.0,3.0,4.0,0.08684863523573201,0.45781637717121587,0.33312655086848636,0.11724565756823821,0.004962779156327543,1.75105327027684,0.7299813780260708,0.9802519343253566,2.0,0.09497206703910614,0.33519553072625696,0.28988206083178153,0.3749224084419615,0.30064320584381765,0.6928429423459245,0.07995504276355243,0.2295854556418926,1.4245810055865922,1.5065176908752327,1.5557620817843867,1.4959367245657567,0.4575744126533415,2.2
521,Robinson Crusoe,robinson_crusoe,1208,1.2276490066225165,0.8047852142292746,1.0,1.0,0.0,4.0,0.0,2.0,4.0,0.1597682119205298,0.5231788079470199,0.25248344370860926,0.058774834437086095,0.005794701986754967,1.6964509910823389,0.6876553438276719,0.9494238805994295,2.0,0.0811930405965203,0.3272576636288318,0.2676056338028169,0.40513670256835127,0.3037657899498464,0.6778242677824268,0.114791753250806,0.31975826992917294,1.2139303482587065,1.0595533498759304,1.4094292803970223,1.2276490066225165,0.4402209572771591,2.0
768,Wuthering Heights,wuthering_heights,1158,1.5181347150259068,0.7825378154626547,1.0,1.0,0.0,4.0,1.0,3.0,4.0,0.06649395509499137,0.46027633851468047,0.36528497409326427,0.10449050086355786,0.0034542314335060447,1.6747390859649596,0.7156439066551427,0.9580647731647038,2.0,0.08643042350907519,0.33016421780466726,0.29213483146067415,0.3777009507346586,0.24984336609042065,0.7454798331015299,0.04973217675857737,0.13469714377679323,1.4585492227979275,1.549222797927461,1.5466321243523315,1.5183362118595278,0.40454930132366157,2.2
1184,The Count of Monte Cristo,count_monte_cristo,4608,1.4798177083333333,0.7668991731445198,1.0,1.0,0.0,4.0,1.0,2.0,4.0,0.06684027777777778,0.4852430555555556,0.3528645833333333,0.09136284722222222,0.003689236111111111,1.6426173917119289,0.6987193401345778,0.940952574776724,2.0,0.07640546993705231,0.3284132841328413,0.2854352072932494,0.3861515085739093,0.24711497109833333,0.7350548284400424,0.09144501046582838,0.24288162426774035,1.4264322916666667,1.3977864583333333,1.615234375,1.4798466435185185,0.4030758243720521,2.2
1257,The Three Musketeers,three_musketeers,2293,1.565198430004361,0.7423113191318536,2.0,1.0,0.0,4.0,1.0,3.0,4.0,0.043174880069777585,0.45617095508068034,0.3946794592237244,0.10423026602703882,0.0017444395987788923,1.5976491826715284,0.6758289703315882,0.9135874580460545,2.0,0.07242582897033159,0.3136998254799302,0.2862129144851658,0.400087260034904,0.24214693949993435,0.7394468704512372,0.08819835855247654,0.22669806252378716,1.5523560209424083,1.4986910994764397,1.6444444444444444,1.5653219944759413,0.37433309957283367,2.2
1260,Jane Eyre,jane_eyre,1852,1.3520518358531317,0.7976958594214327,1.0,1.0,0.0,4.0,0.0,2.0,4.0,0.11663066954643629,0.49838012958963285,0.3050755939524838,0.07613390928725702,0.003779697624190065,1.6980666207694521,0.7201512695840087,0.9642444717344179,2.0,0.0864397622906537,0.33927606699081575,0.2852512155591572,0.375472717450027,0.26920585199825653,0.6943722943722944,0.14124341535530618,0.3900871740298616,1.192868719611021,1.4813614262560777,1.3818770226537216,1.3523038156947447,0.42937785548537183,2.2
1342,Pride and Prejudice,pride_prejudice,1272,1.2421383647798743,0.7415251704018309,1.0,1.0,0.0,4.0,0.0,2.0,4.0,0.13286163522012578,0.5400943396226415,0.28144654088050314,0.04323899371069182,0.0023584905660377358,1.5981922436834533,0.6805664830841857,0.9222314185245901,2.0,0.06608969315499606,0.3288749016522423,0.2761605035405193,0.3949645948072384,0.2263325850590929,0.6861979166666666,0.0994671933057297,0.2553024351924631,1.2169811320754718,1.1485849056603774,1.3608490566037736,1.2424921383647798,0.3582891103437071,1.8
1513,Romeo and Juliet,romeo_juliet,258,1.8294573643410852,0.8682516604398861,2.0,1.0,0.0,4.0,1.0,3.0,4.0,0.031007751937984496,0.36046511627906974,0.3798449612403101,0.2054263565891473,0.023255813953488372,1.8117199172352159,0.8054474708171206,1.0115384525712032,2.0,0.10116731517509728,0.38132295719844356,0.31906614785992216,0.29961089494163423,0.31565724623346764,0.7039106145251397,0.26744742249882186,0.8012929873394996,1.6162790697674418,1.8255813953488371,2.046511627906977,1.8282299741602068,0.4915224573664162,2.6
1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,1044,1.4262452107279693,0.8415234777630914,1.0,1.0,0.0,4.0,0.0,3.0,4.0,0.11206896551724138,0.4616858237547893,0.3218390804597701,0.09674329501915709,0.007662835249042145,1.7748951286908667,0.8044103547459253,1.0486677714899553,2.0,0.11697027804410355,0.3691275167785235,0.3029721955896453,0.32790028763183127,0.2219179893020703,0.6714285714285714,0.016510266015660812,0.04808337458065151,1.396551724137931,1.4655172413793103,1.4166666666666667,1.4260217113665392,0.42274401760914,2.2
